InvoiceID,OrderID,ProductID,Quantity,Buyer,InvoiceDate,DueDate,Amount,Status
INV-35693,ORD81615,PRD-5476,91,K Line (Kawasaki Kisen Kaisha),04-02-24,02-06-24,31761.46,Overdue
INV-54252,ORD81616,PRD-7772,51,MOL (Mitsui O.S.K. Lines),21-06-24,23-04-24,4736.84,Paid
INV-26259,ORD81617,PRD-4444,96,Wallenius Wilhelmsen’s ,15-01-24,11-03-24,43517.04,Pending
INV-97988,ORD81618,PRD-7772,85,K Line (Kawasaki Kisen Kaisha),12-08-24,26-02-24,26125.69,Overdue
INV-84720,ORD81619,PRD-7772,40,Wallenius Wilhelmsen’s ,30-08-24,21-08-24,23345.97,Overdue
INV-32233,ORD81620,PRD-5259,48,K Line (Kawasaki Kisen Kaisha),04-02-24,05-01-24,10792.73,Overdue
INV-56423,ORD81621,PRD-4659,53,MOL (Mitsui O.S.K. Lines),23-11-24,03-09-24,45168.65,Pending
INV-20405,ORD81622,PRD-4444,62,MOL (Mitsui O.S.K. Lines),03-05-24,16-09-24,47728.14,Overdue
INV-80289,ORD81623,PRD-6191,68,Wallenius Wilhelmsen’s ,01-07-24,29-04-24,22444.48,Pending
INV-67165,ORD81624,PRD-5476,53,MOL (Mitsui O.S.K. Lines),10-11-24,26-11-24,42635.25,Pending
INV-50825,ORD81625,PRD-8585,95,K Line (Kawasaki Kisen Kaisha),13-03-24,27-07-24,40312.13,Paid
INV-88183,ORD81626,PRD-9502,45,COSCO Shipping,12-05-24,25-06-24,9150.57,Paid
INV-90636,ORD81627,PRD-4659,58,Wallenius Wilhelmsen’s ,07-12-24,05-11-24,25821.2,Pending
INV-92986,ORD81628,PRD-4659,41,COSCO Shipping,03-04-24,13-08-24,26237.52,Pending
INV-97720,ORD81629,PRD-1257,49,COSCO Shipping,23-02-24,10-10-24,7626.15,Paid
INV-19221,ORD81630,PRD-8585,93,COSCO Shipping,23-04-24,28-11-24,41292.01,Pending
INV-88572,ORD81631,PRD-9912,93,Wallenius Wilhelmsen’s ,23-07-24,01-04-24,42522.29,Paid
INV-26163,ORD81632,PRD-7772,63,Wallenius Wilhelmsen’s ,17-05-24,12-02-24,36914.89,Overdue
INV-71161,ORD81633,PRD-6191,58,K Line (Kawasaki Kisen Kaisha),05-11-24,27-11-24,11011.58,Paid
INV-78615,ORD81634,PRD-9912,87,MOL (Mitsui O.S.K. Lines),13-07-24,11-08-24,30898.13,Paid
INV-16773,ORD81635,PRD-5476,73,Wallenius Wilhelmsen’s ,08-02-24,22-11-24,4017.93,Overdue
INV-77935,ORD81636,PRD-5266,53,K Line (Kawasaki Kisen Kaisha),28-12-23,20-01-24,27805.1,Overdue
INV-41248,ORD81637,PRD-5266,46,Wallenius Wilhelmsen’s ,20-10-24,28-03-24,31121.94,Pending
INV-36759,ORD81638,PRD-1257,77,COSCO Shipping,05-07-24,18-10-24,34111.86,Paid
INV-48918,ORD81639,PRD-5266,69,Wallenius Wilhelmsen’s ,09-02-24,19-12-23,47058.86,Pending
INV-75120,ORD81640,PRD-5259,59,K Line (Kawasaki Kisen Kaisha),19-07-24,12-04-24,35930.66,Overdue
INV-40983,ORD81641,PRD-5476,88,COSCO Shipping,08-07-24,13-06-24,14675.93,Overdue
INV-28824,ORD81642,PRD-4444,62,Wallenius Wilhelmsen’s ,07-10-24,01-05-24,49822.52,Paid
INV-51335,ORD81643,PRD-4659,80,Wallenius Wilhelmsen’s ,22-05-24,08-08-24,45881.44,Overdue
INV-81874,ORD81644,PRD-9502,43,Wallenius Wilhelmsen’s ,13-11-24,26-05-24,38103.25,Paid
INV-72476,ORD81645,PRD-4659,62,Wallenius Wilhelmsen’s ,06-04-24,27-12-23,49207.46,Overdue
INV-96872,ORD81646,PRD-1257,43,K Line (Kawasaki Kisen Kaisha),24-09-24,30-12-23,32098.09,Pending
INV-27829,ORD81647,PRD-7772,47,MOL (Mitsui O.S.K. Lines),22-08-24,09-04-24,23543.42,Paid
INV-82394,ORD81648,PRD-9912,70,K Line (Kawasaki Kisen Kaisha),13-02-24,27-09-24,47056.58,Overdue
INV-16898,ORD81649,PRD-4659,52,COSCO Shipping,18-08-24,08-08-24,24080.25,Pending
INV-33242,ORD81650,PRD-5476,55,Wallenius Wilhelmsen’s ,10-07-24,23-01-24,44945.94,Pending
INV-76855,ORD81651,PRD-2792,58,MOL (Mitsui O.S.K. Lines),18-04-24,20-11-24,37603.14,Paid
INV-94049,ORD81652,PRD-4444,83,COSCO Shipping,12-01-24,10-11-24,30192.29,Paid
INV-68874,ORD81653,PRD-7772,72,COSCO Shipping,05-07-24,19-01-24,37536.23,Paid
INV-66002,ORD81654,PRD-5259,77,MOL (Mitsui O.S.K. Lines),15-06-24,13-02-24,17385.59,Overdue
INV-65686,ORD81655,PRD-9502,48,COSCO Shipping,17-05-24,24-07-24,46645.4,Overdue
INV-55356,ORD81656,PRD-9912,41,COSCO Shipping,25-03-24,13-05-24,45453.68,Paid
INV-86388,ORD81657,PRD-5259,58,COSCO Shipping,18-05-24,11-11-24,38134.7,Paid
INV-79322,ORD81658,PRD-6191,99,K Line (Kawasaki Kisen Kaisha),23-07-24,09-12-24,38327.51,Pending
INV-13976,ORD81659,PRD-8585,84,MOL (Mitsui O.S.K. Lines),10-08-24,11-12-24,15986.71,Pending
INV-83250,ORD81660,PRD-9912,78,Wallenius Wilhelmsen’s ,19-04-24,13-08-24,29960.3,Overdue
INV-75910,ORD81661,PRD-8585,82,Wallenius Wilhelmsen’s ,21-01-24,26-11-24,27110.25,Paid
INV-11484,ORD81662,PRD-9912,51,K Line (Kawasaki Kisen Kaisha),12-12-24,30-08-24,47286.55,Paid
INV-88739,ORD81663,PRD-5476,69,COSCO Shipping,20-09-24,15-09-24,10963.12,Paid
INV-17325,ORD81664,PRD-5259,79,Wallenius Wilhelmsen’s ,07-07-24,26-11-24,43210.42,Paid
INV-86602,ORD81665,PRD-2792,84,MOL (Mitsui O.S.K. Lines),30-10-24,18-12-23,33484.61,Pending
INV-39331,ORD81666,PRD-1257,46,MOL (Mitsui O.S.K. Lines),22-05-24,18-10-24,37266.31,Paid
INV-69616,ORD81667,PRD-8585,75,COSCO Shipping,17-09-24,29-08-24,39095.14,Overdue
INV-15029,ORD81668,PRD-4444,72,MOL (Mitsui O.S.K. Lines),28-07-24,23-01-24,7670.13,Overdue
INV-55163,ORD81669,PRD-7772,87,MOL (Mitsui O.S.K. Lines),02-09-24,31-10-24,4477.92,Overdue
INV-50753,ORD81670,PRD-4659,47,K Line (Kawasaki Kisen Kaisha),20-05-24,23-07-24,10790.25,Pending
INV-45016,ORD81671,PRD-1257,85,K Line (Kawasaki Kisen Kaisha),27-05-24,22-08-24,1082,Overdue
INV-97032,ORD81672,PRD-6191,92,Wallenius Wilhelmsen’s ,07-11-24,12-10-24,11252.58,Paid
INV-44151,ORD81673,PRD-7772,59,COSCO Shipping,10-11-24,12-09-24,43459.29,Overdue
INV-50170,ORD81674,PRD-8585,94,MOL (Mitsui O.S.K. Lines),26-11-24,26-02-24,4531.33,Overdue
INV-10468,ORD81675,PRD-5266,41,K Line (Kawasaki Kisen Kaisha),07-02-24,17-05-24,8885.95,Overdue
INV-10510,ORD81676,PRD-8585,65,COSCO Shipping,07-08-24,09-08-24,31525.57,Paid
INV-59468,ORD81677,PRD-9502,84,COSCO Shipping,27-02-24,03-05-24,30521.58,Overdue
INV-19925,ORD81678,PRD-5476,71,MOL (Mitsui O.S.K. Lines),26-04-24,10-01-24,41398.95,Overdue
INV-26020,ORD81679,PRD-6191,65,COSCO Shipping,21-02-24,29-09-24,10680.97,Paid
INV-90418,ORD81680,PRD-8478,88,MOL (Mitsui O.S.K. Lines),13-08-24,22-08-24,46690.3,Paid
INV-55558,ORD81681,PRD-5476,71,K Line (Kawasaki Kisen Kaisha),17-10-24,12-11-24,42754.71,Paid
INV-13280,ORD81682,PRD-5259,71,MOL (Mitsui O.S.K. Lines),20-07-24,06-01-24,6451.16,Overdue
INV-26130,ORD81683,PRD-9502,56,MOL (Mitsui O.S.K. Lines),28-04-24,28-06-24,16472.25,Overdue
INV-83313,ORD81684,PRD-5259,92,MOL (Mitsui O.S.K. Lines),28-12-23,23-12-23,46438.84,Pending
INV-83211,ORD81685,PRD-8585,54,Wallenius Wilhelmsen’s ,24-05-24,25-03-24,11165.16,Pending
INV-20960,ORD81686,PRD-9502,84,Wallenius Wilhelmsen’s ,23-04-24,25-08-24,29279.07,Pending
INV-43277,ORD81687,PRD-2792,59,K Line (Kawasaki Kisen Kaisha),01-08-24,08-03-24,33745.56,Paid
INV-25225,ORD81688,PRD-5476,57,Wallenius Wilhelmsen’s ,09-10-24,17-12-24,40640.4,Pending
INV-61240,ORD81689,PRD-8478,75,MOL (Mitsui O.S.K. Lines),12-01-24,15-07-24,42985.95,Pending
INV-48367,ORD81690,PRD-8478,80,COSCO Shipping,07-08-24,21-08-24,21140.35,Paid
INV-59548,ORD81691,PRD-7772,90,MOL (Mitsui O.S.K. Lines),25-04-24,06-07-24,37105.8,Paid
INV-35746,ORD81692,PRD-4444,52,COSCO Shipping,08-12-24,31-01-24,11315.08,Overdue
INV-27282,ORD81693,PRD-6191,73,Wallenius Wilhelmsen’s ,10-03-24,17-01-24,22554.18,Overdue
INV-88460,ORD81694,PRD-8478,41,Wallenius Wilhelmsen’s ,31-08-24,15-03-24,19030.27,Pending
INV-24830,ORD81695,PRD-5476,58,Wallenius Wilhelmsen’s ,16-03-24,20-10-24,1471.7,Paid
INV-33769,ORD81696,PRD-7772,84,K Line (Kawasaki Kisen Kaisha),23-08-24,29-06-24,40619.95,Pending
INV-48709,ORD81697,PRD-9502,53,COSCO Shipping,06-12-24,08-08-24,4958.11,Paid
INV-60350,ORD81698,PRD-2792,43,Wallenius Wilhelmsen’s ,24-04-24,10-05-24,26731.16,Overdue
INV-76725,ORD81699,PRD-9502,74,COSCO Shipping,24-05-24,08-02-24,43310.74,Pending
INV-55905,ORD81700,PRD-4444,55,K Line (Kawasaki Kisen Kaisha),28-03-24,19-04-24,45589.21,Pending
INV-23956,ORD81701,PRD-4444,98,MOL (Mitsui O.S.K. Lines),21-09-24,04-12-24,13305.37,Paid
INV-14088,ORD81702,PRD-1257,67,COSCO Shipping,27-03-24,05-04-24,7947.75,Paid
INV-35323,ORD81703,PRD-8478,56,K Line (Kawasaki Kisen Kaisha),04-11-24,20-08-24,29379.95,Pending
INV-20551,ORD81704,PRD-9912,72,COSCO Shipping,18-08-24,30-11-24,44584.04,Overdue
INV-87861,ORD81705,PRD-5476,60,K Line (Kawasaki Kisen Kaisha),27-10-24,19-02-24,44949.13,Overdue
INV-32369,ORD81706,PRD-1257,95,K Line (Kawasaki Kisen Kaisha),25-06-24,26-03-24,35275.21,Overdue
INV-49812,ORD81707,PRD-2792,72,K Line (Kawasaki Kisen Kaisha),17-04-24,20-12-23,21520.52,Pending
INV-11923,ORD81708,PRD-7772,86,COSCO Shipping,02-11-24,24-03-24,13820.09,Overdue
INV-29085,ORD81709,PRD-2792,72,Wallenius Wilhelmsen’s ,18-12-23,07-07-24,23897.69,Paid
INV-44951,ORD81710,PRD-7772,84,Wallenius Wilhelmsen’s ,25-06-24,06-12-24,47765.07,Overdue
INV-17160,ORD81711,PRD-8478,54,MOL (Mitsui O.S.K. Lines),08-01-24,08-08-24,49465.12,Pending
INV-44025,ORD81712,PRD-7772,47,MOL (Mitsui O.S.K. Lines),13-02-24,25-10-24,24741.9,Paid
INV-67550,ORD81713,PRD-1257,93,MOL (Mitsui O.S.K. Lines),15-10-24,06-08-24,18596.97,Overdue
INV-32594,ORD81714,PRD-6191,88,MOL (Mitsui O.S.K. Lines),08-01-24,12-12-24,41401.46,Paid
INV-52673,ORD81715,PRD-6191,99,MOL (Mitsui O.S.K. Lines),31-10-24,26-07-24,3500.24,Overdue
INV-28283,ORD81716,PRD-4659,81,COSCO Shipping,09-09-24,13-04-24,30442,Paid
INV-58364,ORD81717,PRD-5476,45,MOL (Mitsui O.S.K. Lines),05-12-24,16-06-24,47934.09,Paid
INV-43418,ORD81718,PRD-9912,90,MOL (Mitsui O.S.K. Lines),09-04-24,24-12-23,8577.88,Paid
INV-59423,ORD81719,PRD-1257,48,Wallenius Wilhelmsen’s ,28-07-24,06-11-24,8591.04,Pending
INV-70604,ORD81720,PRD-4659,43,Wallenius Wilhelmsen’s ,16-06-24,20-12-23,21713.91,Pending
INV-32382,ORD81721,PRD-4444,42,K Line (Kawasaki Kisen Kaisha),21-10-24,21-12-23,47427.02,Overdue
INV-28757,ORD81722,PRD-4444,82,Wallenius Wilhelmsen’s ,24-12-23,05-02-24,7924.57,Paid
INV-56377,ORD81723,PRD-5476,78,COSCO Shipping,14-04-24,13-08-24,24588.62,Paid
INV-66097,ORD81724,PRD-5476,51,COSCO Shipping,17-09-24,08-07-24,9091.78,Pending
INV-29549,ORD81725,PRD-6191,74,Wallenius Wilhelmsen’s ,30-05-24,17-05-24,19335.43,Overdue
INV-41703,ORD81726,PRD-8585,79,Wallenius Wilhelmsen’s ,28-08-24,06-06-24,27963.75,Overdue
INV-77281,ORD81727,PRD-1257,80,MOL (Mitsui O.S.K. Lines),19-06-24,08-05-24,28617.45,Paid
INV-75875,ORD81728,PRD-9912,53,Wallenius Wilhelmsen’s ,22-06-24,03-12-24,46848.65,Overdue
INV-50994,ORD81729,PRD-4444,67,Wallenius Wilhelmsen’s ,21-08-24,19-11-24,16292.74,Pending
INV-52046,ORD81730,PRD-2792,44,K Line (Kawasaki Kisen Kaisha),29-12-23,23-05-24,14531.1,Paid
INV-55596,ORD81731,PRD-4444,84,K Line (Kawasaki Kisen Kaisha),03-02-24,22-05-24,27701.23,Pending
INV-58915,ORD81732,PRD-5476,47,MOL (Mitsui O.S.K. Lines),05-01-24,28-01-24,22525.81,Paid
INV-98948,ORD81733,PRD-8585,84,Wallenius Wilhelmsen’s ,01-12-24,11-06-24,18105.42,Paid
INV-54717,ORD81734,PRD-9502,57,Wallenius Wilhelmsen’s ,05-04-24,16-10-24,46534.48,Overdue
INV-51945,ORD81735,PRD-4659,68,K Line (Kawasaki Kisen Kaisha),14-06-24,13-06-24,43237.87,Overdue
INV-82156,ORD81736,PRD-1257,92,Wallenius Wilhelmsen’s ,18-01-24,08-01-24,24215.81,Paid
INV-81169,ORD81737,PRD-5259,86,MOL (Mitsui O.S.K. Lines),04-09-24,21-02-24,5154.58,Paid
INV-83797,ORD81738,PRD-4444,53,MOL (Mitsui O.S.K. Lines),30-12-23,11-09-24,48541.14,Overdue
INV-51437,ORD81739,PRD-8585,47,Wallenius Wilhelmsen’s ,05-05-24,21-07-24,29150.13,Overdue
INV-17658,ORD81740,PRD-5266,59,Wallenius Wilhelmsen’s ,05-02-24,07-11-24,32185.39,Paid
INV-38874,ORD81741,PRD-5476,79,K Line (Kawasaki Kisen Kaisha),11-07-24,11-05-24,31377.89,Pending
INV-12414,ORD81742,PRD-7772,70,Wallenius Wilhelmsen’s ,21-06-24,09-02-24,21483.94,Pending
INV-55470,ORD81743,PRD-5476,90,MOL (Mitsui O.S.K. Lines),09-11-24,24-11-24,21091.11,Paid
INV-54070,ORD81744,PRD-5476,49,Wallenius Wilhelmsen’s ,22-09-24,24-11-24,31631.97,Pending
INV-95717,ORD81745,PRD-9502,67,MOL (Mitsui O.S.K. Lines),01-03-24,22-03-24,29043.52,Paid
INV-52807,ORD81746,PRD-5266,92,COSCO Shipping,08-01-24,18-10-24,28271.26,Pending
INV-71982,ORD81747,PRD-4444,71,COSCO Shipping,09-11-24,27-07-24,18870.4,Pending
INV-92884,ORD81748,PRD-8585,57,K Line (Kawasaki Kisen Kaisha),16-02-24,20-02-24,15198.95,Paid
INV-89333,ORD81749,PRD-7772,56,MOL (Mitsui O.S.K. Lines),28-08-24,12-09-24,39600.26,Overdue
INV-63385,ORD81750,PRD-5259,42,K Line (Kawasaki Kisen Kaisha),14-08-24,01-08-24,11193.38,Overdue
INV-23224,ORD81751,PRD-8478,52,COSCO Shipping,20-12-23,20-01-24,5271.9,Pending
INV-80096,ORD81752,PRD-9502,75,MOL (Mitsui O.S.K. Lines),19-06-24,07-08-24,20849.24,Overdue
INV-27739,ORD81753,PRD-9912,81,K Line (Kawasaki Kisen Kaisha),13-07-24,28-02-24,47233.53,Pending
INV-65971,ORD81754,PRD-5476,60,COSCO Shipping,31-05-24,12-11-24,25641.27,Pending
INV-71108,ORD81755,PRD-5266,65,MOL (Mitsui O.S.K. Lines),08-05-24,19-08-24,49150.2,Overdue
INV-45861,ORD81756,PRD-5259,64,COSCO Shipping,11-09-24,07-09-24,15809.52,Pending
INV-48719,ORD81757,PRD-4444,98,Wallenius Wilhelmsen’s ,12-12-24,22-12-23,30396.41,Paid
INV-44831,ORD81758,PRD-6191,98,COSCO Shipping,09-05-24,28-03-24,10971.85,Pending
INV-69957,ORD81759,PRD-4659,70,MOL (Mitsui O.S.K. Lines),24-10-24,18-11-24,6900.29,Pending
INV-36740,ORD81760,PRD-5266,75,Wallenius Wilhelmsen’s ,20-05-24,16-12-24,2414.36,Pending
INV-18833,ORD81761,PRD-9502,92,K Line (Kawasaki Kisen Kaisha),05-08-24,16-02-24,29751.94,Pending
INV-39589,ORD81762,PRD-5476,59,MOL (Mitsui O.S.K. Lines),21-02-24,07-02-24,16965.32,Paid
INV-89353,ORD81763,PRD-8478,81,Wallenius Wilhelmsen’s ,05-05-24,19-12-23,18424.05,Overdue
INV-32486,ORD81764,PRD-7772,99,Wallenius Wilhelmsen’s ,27-09-24,25-11-24,32918.62,Pending
INV-27366,ORD81765,PRD-6191,99,COSCO Shipping,16-08-24,19-06-24,44983.42,Overdue
INV-74648,ORD81766,PRD-8478,59,COSCO Shipping,08-03-24,25-01-24,10427.94,Overdue
INV-72990,ORD81767,PRD-2792,60,MOL (Mitsui O.S.K. Lines),03-04-24,04-10-24,14409.46,Pending
INV-46363,ORD81768,PRD-7772,80,Wallenius Wilhelmsen’s ,26-01-24,10-01-24,47626.49,Overdue
INV-74488,ORD81769,PRD-1257,78,Wallenius Wilhelmsen’s ,21-09-24,13-07-24,3482.88,Overdue
INV-35659,ORD81770,PRD-6191,49,COSCO Shipping,09-08-24,05-12-24,40594.91,Paid
INV-62861,ORD81771,PRD-5476,70,Wallenius Wilhelmsen’s ,08-02-24,03-06-24,11491.26,Paid
INV-83746,ORD81772,PRD-9912,54,Wallenius Wilhelmsen’s ,28-08-24,15-01-24,20956.79,Overdue
INV-73815,ORD81773,PRD-9502,98,K Line (Kawasaki Kisen Kaisha),31-03-24,10-05-24,35833.03,Pending
INV-61137,ORD81774,PRD-8478,97,MOL (Mitsui O.S.K. Lines),20-06-24,28-02-24,8690.95,Overdue
INV-25975,ORD81775,PRD-5476,75,Wallenius Wilhelmsen’s ,06-07-24,20-03-24,6597.48,Pending
INV-11803,ORD81776,PRD-5266,48,K Line (Kawasaki Kisen Kaisha),29-09-24,10-10-24,28328.38,Pending
INV-50805,ORD81777,PRD-8478,84,Wallenius Wilhelmsen’s ,31-07-24,18-09-24,49133.36,Overdue
INV-38739,ORD81778,PRD-1257,99,K Line (Kawasaki Kisen Kaisha),16-06-24,17-04-24,10649.14,Paid
INV-26957,ORD81779,PRD-2792,59,MOL (Mitsui O.S.K. Lines),05-11-24,12-04-24,19893.01,Overdue
INV-65749,ORD81780,PRD-8585,97,MOL (Mitsui O.S.K. Lines),31-08-24,13-09-24,21023.33,Paid
INV-85127,ORD81781,PRD-2792,42,MOL (Mitsui O.S.K. Lines),09-05-24,30-06-24,31967.32,Overdue
INV-54240,ORD81782,PRD-4444,86,Wallenius Wilhelmsen’s ,31-10-24,14-08-24,16927.24,Pending
INV-11652,ORD81783,PRD-7772,58,K Line (Kawasaki Kisen Kaisha),23-07-24,02-05-24,31551.19,Pending
INV-97242,ORD81784,PRD-5266,85,MOL (Mitsui O.S.K. Lines),26-01-24,09-08-24,30337.43,Overdue
INV-22516,ORD81785,PRD-8478,51,K Line (Kawasaki Kisen Kaisha),27-12-23,22-04-24,10593.8,Paid
INV-19182,ORD81786,PRD-7772,99,Wallenius Wilhelmsen’s ,04-10-24,10-10-24,28394.06,Overdue
INV-25725,ORD81787,PRD-4444,75,COSCO Shipping,30-06-24,16-11-24,3450.5,Pending
INV-54201,ORD81788,PRD-2792,67,MOL (Mitsui O.S.K. Lines),15-10-24,19-04-24,1123.98,Paid
INV-36747,ORD81789,PRD-1257,44,MOL (Mitsui O.S.K. Lines),17-08-24,30-05-24,29496.64,Pending
INV-51277,ORD81790,PRD-8478,84,MOL (Mitsui O.S.K. Lines),03-11-24,04-03-24,11157.57,Pending
INV-56282,ORD81791,PRD-4444,60,COSCO Shipping,20-03-24,04-12-24,39943.21,Overdue
INV-69755,ORD81792,PRD-4444,82,MOL (Mitsui O.S.K. Lines),08-03-24,10-02-24,29970.99,Paid
INV-55105,ORD81793,PRD-4444,84,Wallenius Wilhelmsen’s ,23-01-24,16-04-24,2044.96,Overdue
INV-51391,ORD81794,PRD-4659,66,MOL (Mitsui O.S.K. Lines),04-11-24,03-01-24,20494.05,Overdue
INV-65599,ORD81795,PRD-4659,78,K Line (Kawasaki Kisen Kaisha),01-04-24,11-07-24,39458.76,Overdue
INV-42918,ORD81796,PRD-8478,45,K Line (Kawasaki Kisen Kaisha),10-01-24,08-02-24,7032.89,Paid
INV-97456,ORD81797,PRD-8478,61,Wallenius Wilhelmsen’s ,24-08-24,24-05-24,35081.46,Pending
INV-81017,ORD81798,PRD-5259,80,COSCO Shipping,31-03-24,30-07-24,48705,Pending
INV-29176,ORD81799,PRD-4659,82,Wallenius Wilhelmsen’s ,19-07-24,08-07-24,37552.53,Overdue
INV-96798,ORD81800,PRD-8585,66,Wallenius Wilhelmsen’s ,18-12-23,24-12-23,33441.71,Overdue
INV-83874,ORD81801,PRD-5259,40,Wallenius Wilhelmsen’s ,02-07-24,06-04-24,23087.31,Paid
INV-95385,ORD81802,PRD-1257,68,K Line (Kawasaki Kisen Kaisha),26-06-24,25-06-24,40029.57,Overdue
INV-32697,ORD81803,PRD-5476,74,Wallenius Wilhelmsen’s ,18-07-24,09-08-24,20100.49,Pending
INV-14216,ORD81804,PRD-9502,95,Wallenius Wilhelmsen’s ,08-07-24,12-11-24,10465.24,Paid
INV-76025,ORD81805,PRD-8585,48,COSCO Shipping,09-01-24,01-01-24,43107.43,Overdue
INV-80647,ORD81806,PRD-5266,53,K Line (Kawasaki Kisen Kaisha),13-01-24,08-06-24,23664.97,Pending
INV-95573,ORD81807,PRD-2792,69,COSCO Shipping,28-04-24,24-10-24,19541.46,Paid
INV-44203,ORD81808,PRD-7772,90,MOL (Mitsui O.S.K. Lines),19-01-24,04-10-24,38927.42,Overdue
INV-62312,ORD81809,PRD-4444,79,COSCO Shipping,04-09-24,09-07-24,13149.99,Pending
INV-65779,ORD81810,PRD-1257,50,K Line (Kawasaki Kisen Kaisha),03-10-24,06-11-24,2707.77,Overdue
INV-70292,ORD81811,PRD-4444,56,Wallenius Wilhelmsen’s ,12-10-24,02-01-24,46910.92,Paid
INV-17251,ORD81812,PRD-5259,45,MOL (Mitsui O.S.K. Lines),28-08-24,25-10-24,1547.91,Pending
INV-54563,ORD81813,PRD-5259,74,K Line (Kawasaki Kisen Kaisha),28-02-24,10-07-24,23640.67,Pending
INV-65757,ORD81814,PRD-5259,97,COSCO Shipping,01-06-24,19-03-24,48468.54,Paid
INV-21616,ORD81815,PRD-5259,42,K Line (Kawasaki Kisen Kaisha),02-07-24,03-06-24,39451.01,Paid
INV-31727,ORD81816,PRD-5476,41,K Line (Kawasaki Kisen Kaisha),31-10-24,26-02-24,43618.5,Overdue
